Registro,Variable,Mean,Found Value,Deviation
9516,VT_812Y,10.22299347385575,150.0,37.61027588534155
9516,VT_814X,17.297019177668332,150.0,22.580604636286665
9516,VT_814Y,14.5325314857436,150.0,27.40294536401115
9517,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9517,VT_812X,10.797900807110196,150.0,38.27568816246563
9517,VT_812Y,10.22299347385575,150.0,37.61027588534155
9517,VT_814X,17.297019177668332,150.0,22.580604636286665
9517,VT_814Y,14.5325314857436,150.0,27.40294536401115
9518,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9518,VT_812X,10.797900807110196,150.0,38.27568816246563
9518,VT_812Y,10.22299347385575,150.0,37.61027588534155
9518,VT_814X,17.297019177668332,150.0,22.580604636286665
9518,VT_814Y,14.5325314857436,150.0,27.40294536401115
9519,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9519,VT_812X,10.797900807110196,150.0,38.27568816246563
9519,VT_812Y,10.22299347385575,150.0,37.61027588534155
9519,VT_814X,17.297019177668332,150.0,22.580604636286665
9519,VT_814Y,14.5325314857436,150.0,27.40294536401115
9520,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9520,VT_812X,10.797900807110196,150.0,38.27568816246563
9520,VT_812Y,10.22299347385575,150.0,37.61027588534155
9520,VT_814X,17.297019177668332,150.0,22.580604636286665
9520,VT_814Y,14.5325314857436,150.0,27.40294536401115
9521,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9521,VT_812X,10.797900807110196,150.0,38.27568816246563
9521,VT_812Y,10.22299347385575,150.0,37.61027588534155
9521,VT_814X,17.297019177668332,150.0,22.580604636286665
9521,VT_814Y,14.5325314857436,150.0,27.40294536401115
9522,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9522,VT_812X,10.797900807110196,150.0,38.27568816246563
9522,VT_812Y,10.22299347385575,150.0,37.61027588534155
9522,VT_814X,17.297019177668332,150.0,22.580604636286665
9522,VT_814Y,14.5325314857436,150.0,27.40294536401115
9523,LIT_802,49.42086332225058,592.2639219877685,5.288447392572882
9523,VT_812X,10.797900807110196,150.0,38.27568816246563
